no2,n2_2019,ZEV_2019_pct,ZEV_2013_pct,ZCTA,pop,medin_g,pct_cll,pct_hgh,pct_wht,mdn_ncm,pct_pvr,pct_wn_,mdn_hm_,pct_aut,p__2013,pct_pb_,pct_wfh,D1C5_IN,D3A,D4C,NtWlkIn
-2.6323156557766154,16.383409980784805,2.1135265700483092,0.5642033146944738,90023,46680,31.4,6.6,47.9,57.7,42972,22.1,27.5,427300,65.8,58.8,12.8,3.6,2.774942948313371,29.202251556739842,17.96378573159113,14.578185457991001
-1.7347433617753758,8.256076323455392,12.4399589832155,8.002879929109437,90024,51627,22.6,72.5,97,59.5,65855,7.9,30.2,1184100,48.6,49.7,4.4,7.9,0.600785449252579,22.229330188767417,42.493864014309224,14.43125704099019
-1.1021723945927882,8.154264280154553,11.306089199647003,6.989695408395212,90025,46883,34,68.8,93.3,63.6,87280,5.8,26.7,867400,67.1,66,6.5,7.9,1.820031091751974,32.78813632458952,32.488449631746974,16.731169540099437
-2.0064425827978543,13.280216585647464,9.702261510927924,4.900366650725331,90026,68906,34.7,40.4,78,44.1,65269,16.1,23.7,838400,64,58.8,13.4,8.2,0.371281176869087,29.710872695063365,20.6884901287916,14.594878569121601
-1.6727466211087094,11.46620325630523,12.985977752817131,7.072515666965085,90027,44770,38.1,54.6,90.3,66.2,66947,8.6,19.2,1146900,65.3,65.6,8.9,12.5,0.109165375048084,18.926534861529262,24.002864559068517,12.238010370571127
-1.7039035863518919,10.477107747323595,9.298461538461538,4.2051788612149865,90028,29774,36.3,48.2,89.1,55.7,45499,14.1,4.7,792800,56.3,52.7,14.4,11.4,1.116575326720594,25.88674444658247,35.197830086690445,16.75731091990158
-1.5400736823991572,11.8108381914051,6.748892092476908,2.7164685908319184,90029,36668,36.2,30.1,73.9,35.8,41998,17.9,10.1,719900,57.2,49.8,20.7,6.2,0.29252984177081,26.151308317740632,19.53754779595589,14.828597337589652
-2.946472693271696,15.019445777825846,5.071237756010686,1.9161283258513084,90031,39916,35.6,21.8,61.2,31.4,48479,17.1,31.6,550000,63.7,61.9,11.3,4.7,2.269556111854067,24.76840749221707,19.18494181495237,14.46856133965651
-3.7206632142859544,15.741897863933763,4.6573800478401575,1.4660325494131508,90032,48031,34,20.2,66.3,38.2,57225,16,50.2,504700,70.1,70.4,7.4,4.2,0.916467013047445,21.2069315576148,14.461807784552434,12.91977463550512
-2.8685049932476616,15.826499494426834,2.964309878213802,0.8111434325352428,90033,49155,31.1,11.9,50.6,56.9,38266,27.2,18.7,434200,62,51.5,14.2,3.6,1.172793547588501,32.50244841412146,35.72215901409333,14.371815411883599
-1.0600327179677134,8.920138622285725,9.90118087478323,5.069594803587999,90034,53861,34,57.5,91.1,53.4,75714,5.9,18.5,983300,74.3,72.7,8.7,6,0.754995887086862,29.056850529156765,17.13027149466556,15.397983697471412
-1.424378666120555,9.182431934312508,11.072152522872953,6.583407671721678,90035,27272,36.3,63.3,95,75.8,89337,4.5,32.8,1094900,76.3,77.4,3.6,8.3,0.501342165436689,27.591943680804988,15.098971759192581,16.39796760281801
-1.625903316084493,10.065795026390537,11.481123755931634,6.871106851940585,90036,37965,34.8,68.6,97.6,67.9,80539,5.3,17.3,1504000,72.2,71,4.2,11.2,1.217574170846515,28.70115317702433,15.142996955760069,16.97890595238628
-0.9590449487906483,13.004548788313299,2.286607854129171,0.5335910255871602,90037,67640,30.7,7,52.4,44.6,35424,29.6,24.1,407200,62.9,55.7,17,2.8,0.635610697191253,33.097952601915786,28.51683442542696,14.850723576690429
-1.6444575313773182,10.60148920167873,7.34481637959051,3.234307618591279,90038,28580,33.9,34,73.9,47.3,47116,20.8,9.1,821600,62.9,57.9,18.1,6.8,1.387943777016689,25.351280931737893,11.412183388893453,16.439616581657713
-2.17033639970359,12.801985833605416,12.715704232141137,6.725958866036687,90039,29510,39.2,50.7,86.5,57.8,90538,8.2,45.5,854200,73.7,75.9,4.2,11.3,1.863400472544986,23.67442235726978,12.143147862658589,14.840228171580335
-3.6032849877191104,15.910439525525533,3.1392749538341915,1.52988614800759,90040,12328,35.3,9.6,58,73,47120,13.5,46.6,406900,75.7,74,3.6,4.6,6.656408856864886,14.976248330310591,19.203422750789336,12.963995494250979
-3.7395688671025944,12.684559809670223,9.89332322521254,4.655935355608285,90041,29090,38.8,46.7,89.3,48.8,85971,6.9,50.7,735100,69.1,71.3,4.9,6.1,0.309230043971981,23.669645168575556,13.075077805548188,14.523596057424177
-3.953662224393165,14.126674351200963,7.552506154087886,3.0058768746587883,90042,63193,35.8,32.3,76.8,46.7,64267,11.3,44.9,627200,68.4,69.8,9.7,6.2,0.217127340567495,25.059139416585147,7.294591989457124,14.074475464481438
-0.8048132413832594,11.66998676438562,4.8154906731549065,1.405312767780634,90043,45873,40.1,26.2,82.1,20.4,54729,14.2,55.3,556400,77.3,74.2,7.3,4.8,0.453595991794428,25.10271953974007,11.525984994157604,13.910014569710045
-1.1357402464496626,11.937487924589986,1.9745418296142934,0.4195270785659802,90044,99443,31.6,7.9,62.2,28,35981,26.2,29.4,391100,72.1,65.8,10.7,3.4,0.131934998448661,30.241087333261543,16.541746495284475,13.869360217156318
-0.7620377972225096,10.14414449416869,4.683645757950681,2.822816956436804,90045,40567,35.1,60.8,97.6,61.9,104578,4.6,51.6,959400,77.2,77.7,1.9,6.1,5.676139082836314,18.168293693643143,44.70196029847666,12.745550531166451
-1.91392522146411,9.365454740852867,12.456379912001214,7.588488256698643,90046,50900,38.2,61.5,96.8,79.1,72266,3.8,22.6,1183200,67.7,70.5,4.7,14.9,0.225783220310842,19.558607823811528,5.822320718202526,11.450223733176985
-1.0955295691140083,11.76891254706826,2.6318172215012225,0.6955422067657288,90047,51411,38.4,15.3,78.3,20.1,52605,11.7,56.6,433700,80.1,74.2,5.1,2.9,0.341869806406692,26.582472663280036,9.227268883194245,14.34000814384558
-1.7780815497107323,9.49638629098198,12.21833080023789,8.268065109310086,90048,21489,37.7,68.5,96.1,79.2,100586,2.9,30.2,1229900,68.9,75.2,2.7,15.2,1.170280066378579,30.907118009225243,19.24170841082466,17.30808231578688
