estimate,value,method,samples,i
σ2,0.00040674686358105246,tmle_iid,1668,6
σ2net,0.00040674686358105295,tmle_iid,1668,6
σ2boot,NaN,tmle_iid,1668,6
ψ,1.4847814174199,ols,1668,6
σ2,0.0017378263414988303,ols,1668,6
σ2net,0.0017378263414988303,ols,1668,6
ψ,1.4647249466682173,plugin,1668,7
σ2boot,NaN,plugin,1668,7
ψ,1.4335325229031297,ipw,1668,7
σ2,0.0006215990271159961,ipw,1668,7
σ2net,0.0006500486318289768,ipw,1668,7
σ2boot,NaN,ipw,1668,7
stabilized,false,ipw,1668,7
ψ,1.412552505166926,sipw,1668,7
σ2,0.00040183462459519615,sipw,1668,7
σ2net,0.0004983064179799475,sipw,1668,7
σ2boot,NaN,sipw,1668,7
stabilized,true,sipw,1668,7
ψ,1.4604991056499632,onestep,1668,7
σ2,0.00041342033385334586,onestep,1668,7
σ2net,0.0004746758613405882,onestep,1668,7
σ2boot,NaN,onestep,1668,7
ψ,1.467425606876931,tmle,1668,7
σ2,0.0004274565926820835,tmle,1668,7
σ2net,0.0004532865064852355,tmle,1668,7
σ2boot,NaN,tmle,1668,7
ψ,1.441929344037938,plugin_iid,1668,7
σ2boot,NaN,plugin_iid,1668,7
ψ,1.4202472455471946,ipw_iid,1668,7
σ2,0.0005965885821451683,ipw_iid,1668,7
σ2net,0.0005965885821451692,ipw_iid,1668,7
σ2boot,NaN,ipw_iid,1668,7
stabilized,false,ipw_iid,1668,7
ψ,1.4211496958931915,sipw_iid,1668,7
σ2,0.0004182096608262524,sipw_iid,1668,7
σ2net,0.0004182096608262534,sipw_iid,1668,7
σ2boot,NaN,sipw_iid,1668,7
stabilized,true,sipw_iid,1668,7
ψ,1.4466876910582083,onestep_iid,1668,7
σ2,0.0004069664016458326,onestep_iid,1668,7
σ2net,0.0004069664016458328,onestep_iid,1668,7
σ2boot,NaN,onestep_iid,1668,7
ψ,1.4404828489208903,tmle_iid,1668,7
σ2,0.0004067219397237741,tmle_iid,1668,7
σ2net,0.00040672193972377397,tmle_iid,1668,7
σ2boot,NaN,tmle_iid,1668,7
ψ,1.4418250985492154,ols,1668,7
σ2,0.0016710514387209868,ols,1668,7
σ2net,0.0016710514387209868,ols,1668,7
ψ,1.4888296762037772,plugin,1668,8
σ2boot,NaN,plugin,1668,8
ψ,1.4553013202103908,ipw,1668,8
σ2,0.0007948779846921439,ipw,1668,8
σ2net,0.0009966726698929379,ipw,1668,8
σ2boot,NaN,ipw,1668,8
stabilized,false,ipw,1668,8
ψ,1.4516191176302766,sipw,1668,8
σ2,0.00044867600413676955,sipw,1668,8
σ2net,0.0006204151220411995,sipw,1668,8
σ2boot,NaN,sipw,1668,8
stabilized,true,sipw,1668,8
ψ,1.4923248962487625,onestep,1668,8
σ2,0.0004518938813034538,onestep,1668,8
σ2net,0.0005559516646031114,onestep,1668,8
σ2boot,NaN,onestep,1668,8
ψ,1.492237271955567,tmle,1668,8
σ2,0.0004595035825062756,tmle,1668,8
σ2net,0.0005786695404768754,tmle,1668,8
σ2boot,NaN,tmle,1668,8
ψ,1.4693344233249632,plugin_iid,1668,8
σ2boot,NaN,plugin_iid,1668,8
ψ,1.4456768862363751,ipw_iid,1668,8
σ2,0.0006611773692556006,ipw_iid,1668,8
σ2net,0.0006611773692556007,ipw_iid,1668,8
σ2boot,NaN,ipw_iid,1668,8
stabilized,false,ipw_iid,1668,8
ψ,1.4439626347777237,sipw_iid,1668,8
σ2,0.00042580870413303103,sipw_iid,1668,8
σ2net,0.00042580870413303114,sipw_iid,1668,8
σ2boot,NaN,sipw_iid,1668,8
stabilized,true,sipw_iid,1668,8
ψ,1.4660600510371664,onestep_iid,1668,8
σ2,0.00042058416923920376,onestep_iid,1668,8
σ2net,0.00042058416923920354,onestep_iid,1668,8
σ2boot,NaN,onestep_iid,1668,8
ψ,1.4655354761093329,tmle_iid,1668,8
σ2,0.00042407684867131493,tmle_iid,1668,8
σ2net,0.0004240768486713147,tmle_iid,1668,8
σ2boot,NaN,tmle_iid,1668,8
ψ,1.4691971383608355,ols,1668,8
σ2,0.0017177175206376403,ols,1668,8
σ2net,0.0017177175206376403,ols,1668,8
ψ,1.4906650299603492,plugin,1668,9
σ2boot,NaN,plugin,1668,9
ψ,1.4648125762030935,ipw,1668,9
σ2,0.0009694208483378869,ipw,1668,9
σ2net,0.0012576659404215618,ipw,1668,9
σ2boot,NaN,ipw,1668,9
stabilized,false,ipw,1668,9
ψ,1.4566114639797503,sipw,1668,9
σ2,0.0004419195437247753,sipw,1668,9
σ2net,0.0004927351832149365,sipw,1668,9
σ2boot,NaN,sipw,1668,9
stabilized,true,sipw,1668,9
ψ,1.4920160029800675,onestep,1668,9
σ2,0.0004176328346499506,onestep,1668,9
σ2net,0.0004584674072109493,onestep,1668,9
σ2boot,NaN,onestep,1668,9
ψ,1.488044162322269,tmle,1668,9
σ2,0.00041791182174420743,tmle,1668,9
σ2net,0.00045773203774713135,tmle,1668,9
σ2boot,NaN,tmle,1668,9
ψ,1.4686642714850928,plugin_iid,1668,9
σ2boot,NaN,plugin_iid,1668,9
ψ,1.4502262803513835,ipw_iid,1668,9
σ2,0.0005297768921337459,ipw_iid,1668,9
σ2net,0.0005297768921337461,ipw_iid,1668,9
σ2boot,NaN,ipw_iid,1668,9
stabilized,false,ipw_iid,1668,9
ψ,1.4377246392306358,sipw_iid,1668,9
σ2,0.00043121595412240243,sipw_iid,1668,9
σ2net,0.00043121595412240287,sipw_iid,1668,9
σ2boot,NaN,sipw_iid,1668,9
stabilized,true,sipw_iid,1668,9
ψ,1.4669883460143578,onestep_iid,1668,9
σ2,0.00040675376721565194,onestep_iid,1668,9
σ2net,0.0004067537672156519,onestep_iid,1668,9
σ2boot,NaN,onestep_iid,1668,9
ψ,1.468139985035283,tmle_iid,1668,9
σ2,0.0004363736913717777,tmle_iid,1668,9
σ2net,0.00043637369137177715,tmle_iid,1668,9
σ2boot,NaN,tmle_iid,1668,9
ψ,1.4686173188001006,ols,1668,9
σ2,0.0016768393472330171,ols,1668,9
σ2net,0.0016768393472330171,ols,1668,9
ψ,1.501980180021143,plugin,1668,10
σ2boot,NaN,plugin,1668,10
ψ,1.4691274174462665,ipw,1668,10
σ2,0.0005731348896250626,ipw,1668,10
σ2net,0.0007398213993247138,ipw,1668,10
σ2boot,NaN,ipw,1668,10
stabilized,false,ipw,1668,10
ψ,1.4630929431816473,sipw,1668,10
σ2,0.0004151110853312191,sipw,1668,10
σ2net,0.000615000711013561,sipw,1668,10
σ2boot,NaN,sipw,1668,10
stabilized,true,sipw,1668,10
ψ,1.5063283560361689,onestep,1668,10
σ2,0.0004246183520679871,onestep,1668,10
σ2net,0.0006279992498712683,onestep,1668,10
σ2boot,NaN,onestep,1668,10
ψ,1.508356403153863,tmle,1668,10
σ2,0.00041323586889406236,tmle,1668,10
σ2net,0.0005928610758795121,tmle,1668,10
σ2boot,NaN,tmle,1668,10
ψ,1.4867943691315104,plugin_iid,1668,10
σ2boot,NaN,plugin_iid,1668,10
ψ,1.457484986715919,ipw_iid,1668,10
σ2,0.0005969995666324601,ipw_iid,1668,10
σ2net,0.0005969995666324595,ipw_iid,1668,10
σ2boot,NaN,ipw_iid,1668,10
stabilized,false,ipw_iid,1668,10
ψ,1.4690778426248075,sipw_iid,1668,10
σ2,0.00042814023028666054,sipw_iid,1668,10
σ2net,0.0004281402302866601,sipw_iid,1668,10
σ2boot,NaN,sipw_iid,1668,10
stabilized,true,sipw_iid,1668,10
ψ,1.4882227407640856,onestep_iid,1668,10
σ2,0.0004034642580597898,onestep_iid,1668,10
σ2net,0.00040346425805979,onestep_iid,1668,10
σ2boot,NaN,onestep_iid,1668,10
ψ,1.4889622191679988,tmle_iid,1668,10
σ2,0.0003977305589136844,tmle_iid,1668,10
σ2net,0.00039773055891368465,tmle_iid,1668,10
σ2boot,NaN,tmle_iid,1668,10
ψ,1.48671439398245,ols,1668,10
